"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\README.md", "Markdown", 0, 0, 38, 0, 0, 33, 71
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\package-lock.json", "JSON", 18636, 0, 0, 0, 0, 1, 18637
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\package.json", "JSON", 56, 0, 0, 0, 0, 1, 57
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\public\index.html", "HTML", 0, 0, 0, 18, 23, 3, 44
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 1, 26
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\App.js", "JavaScript", 0, 49, 0, 0, 4, 5, 58
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Car.js", "JavaScript", 0, 4, 0, 0, 0, 2, 6
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Cards\EditSlot.js", "JavaScript", 0, 165, 0, 0, 3, 8, 176
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Cards\SlotCard.js", "JavaScript", 0, 125, 0, 0, 4, 7, 136
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Location.js", "JavaScript", 0, 4, 0, 0, 0, 2, 6
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Request.js", "JavaScript", 0, 4, 0, 0, 0, 2, 6
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Slot.js", "JavaScript", 0, 49, 0, 0, 0, 5, 54
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Worker.js", "JavaScript", 0, 4, 0, 0, 0, 2, 6
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Data.js", "JavaScript", 0, 53, 0, 0, 31, 2, 86
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Sidebar.js", "JavaScript", 0, 129, 0, 0, 1, 7, 137
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\UserSidebar.js", "JavaScript", 0, 94, 0, 0, 1, 7, 102
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\User\BookSlot.js", "JavaScript", 0, 277, 0, 0, 2, 7, 286
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\User\Cards\BookingCard.js", "JavaScript", 0, 169, 0, 0, 9, 4, 182
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\User\Cards\ViewingCard.js", "JavaScript", 0, 53, 0, 0, 1, 3, 57
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\User\ViewBooking.js", "JavaScript", 0, 51, 0, 0, 3, 2, 56
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\context\AuthContext.js", "JavaScript", 0, 26, 0, 0, 0, 4, 30
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\index.js", "JavaScript", 0, 10, 0, 0, 0, 3, 13
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\pages\home.js", "JavaScript", 0, 37, 0, 0, 9, 2, 48
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\pages\login.js", "JavaScript", 0, 155, 0, 0, 10, 6, 171
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\pages\signout.js", "JavaScript", 0, 6, 0, 0, 0, 2, 8
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\pages\signup.js", "JavaScript", 0, 271, 0, 0, 15, 14, 300
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\routes.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 18717, 1735, 38, 18, 116, 136, 20760
