"filename", "language", "JavaScript", "HTML", "CSS", "JSON", "Markdown", "comment", "blank", "total"
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 33, 71
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\package-lock.json", "JSON", 0, 0, 0, 44373, 0, 0, 1, 44374
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\package.json", "JSON", 0, 0, 0, 59, 0, 0, 1, 60
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\public\index.html", "HTML", 0, 21, 0, 0, 0, 23, 3, 47
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\App.css", "CSS", 0, 0, 10, 0, 0, 0, 2, 12
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\App.js", "JavaScript", 52, 0, 0, 0, 0, 4, 5, 61
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Car.js", "JavaScript", 4, 0, 0, 0, 0, 0, 2, 6
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Cards\AddLocationCard.js", "JavaScript", 55, 0, 0, 0, 0, 0, 4, 59
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Cards\AddLocationForm.js", "JavaScript", 231, 0, 0, 0, 0, 5, 3, 239
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Cards\AddSlot.js", "JavaScript", 55, 0, 0, 0, 0, 0, 4, 59
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Cards\AddSlotForm.js", "JavaScript", 144, 0, 0, 0, 0, 0, 2, 146
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Cards\EditLocation.js", "JavaScript", 52, 0, 0, 0, 0, 0, 2, 54
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Cards\EditSlot.js", "JavaScript", 165, 0, 0, 0, 0, 2, 9, 176
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Cards\LocationCard.js", "JavaScript", 123, 0, 0, 0, 0, 0, 7, 130
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Cards\SlotCard.js", "JavaScript", 127, 0, 0, 0, 0, 4, 9, 140
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Cards\addLocation.css", "CSS", 0, 0, 10, 0, 0, 0, 1, 11
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Location.js", "JavaScript", 60, 0, 0, 0, 0, 2, 3, 65
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Request.js", "JavaScript", 4, 0, 0, 0, 0, 0, 2, 6
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Slot.js", "JavaScript", 63, 0, 0, 0, 0, 3, 3, 69
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Admin\Worker.js", "JavaScript", 4, 0, 0, 0, 0, 0, 2, 6
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Data.js", "JavaScript", 62, 0, 0, 0, 0, 31, 3, 96
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\DotRing\DotRing.css", "CSS", 0, 0, 39, 0, 0, 0, 4, 43
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\DotRing\DotRing.js", "JavaScript", 22, 0, 0, 0, 0, 1, 4, 27
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\Sidebar.js", "JavaScript", 128, 0, 0, 0, 0, 1, 8, 137
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\UserSidebar.js", "JavaScript", 111, 0, 0, 0, 0, 2, 6, 119
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\User\BookSlot.css", "CSS", 0, 0, 6, 0, 0, 0, 2, 8
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\User\BookSlot.js", "JavaScript", 278, 0, 0, 0, 0, 3, 8, 289
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\User\Cards\BookingCard.js", "JavaScript", 185, 0, 0, 0, 0, 9, 5, 199
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\User\Cards\ViewingCard.js", "JavaScript", 117, 0, 0, 0, 0, 1, 3, 121
"d:\COMPUTER SCIENCE\C++ PROGRAMS\Web Development\Projects\parking\src\components\User\Checkout.js", "JavaScript", 239, 0, 0, 0, 0, 0, 5, 244
